Language   Code       Cleaned Cou… in books Cleaned LetKerning Pai… in %     
Czech      CS            44338357        148      12288       4379        36%
Danish     DA            22486111         75       8753       3164        36%
German     DE           115862487        386      13209       4656        35%
English    EN           146375753        488      11681       4171        36%
Spanish    ES            57164706        191      10044       3587        36%
Estonian   ET             6948357         23       6870       2501        36%
Finnish    FI            23858390         80       8438       3070        36%
French     FR            95981287        320      11468       4139        36%
Croatian   HR            19644191         65       8505       3048        36%
Hungarian  HU            62246898        207      12476       4382        35%
Italian    IT            47654490        159      10126       3626        36%
Lithuanian LT             1963754          7       5852       2188        37%
Latvian    LV             1397605          5       4658       1617        35%
Dutch      NL            27789615         93       9099       3241        36%
Norwegian  NO            32943445        110      10134       3656        36%
Polish     PL            28486143         95       9202       3294        36%
Portuguese PT            20138072         67       7550       2758        37%
Romanian   RO            10043888         33       7671       2834        37%
Sami       SE              541248          2       4160       1571        38%
Slovak     SK             6673205         22       7763       2812        36%
Slovenian  SL             6978876         23       7156       2575        36%
Albanian   SQ             8481442         28       7276       2710        37%
Swedish    SV            10436272         35       7936       2973        37%
Turkish    TR             6338028         21       6598       2320        35%
                         33532193       2683                              36%
